"","country","population","year","Co2 Rate","co2","cement_co2","coal_co2","flaring_co2","gas_co2","oil_co2","co2_normalised"
"170","Reunion",941189,2018,4.703,4.426,0,2.031,0,0,2.395,4.70256239713809e-06
"171","Romania",19606778,2018,4.107,80.516,3.505,20.695,0.861,25.412,28.73,4.10653907541566e-06
"172","Russia",145652288,2018,11.675,1700.453,20.091,396.392,49.438,825.415,391.516,1.16747427956641e-05
"173","Rwanda",12531810,2018,0.102,1.281,0.145,0.015,0,0.095,1.026,1.02219870872603e-07
"174","Saint Helena",5494,2018,2.001,0.011,0,0,0,0,0.011,2.00218420094649e-06
"175","Saint Kitts and Nevis",47787,2018,5.137,0.245,0,0,0,0,0.245,5.12691736246259e-06
"176","Saint Lucia",177894,2018,2.863,0.509,0,0,0,0,0.509,2.86125445490011e-06
"177","Saint Pierre and Miquelon",5969,2018,9.821,0.059,0,0,0,0,0.059,9.8844027475289e-06
"178","Saint Vincent and the Grenadines",105297,2018,2.297,0.242,0,0,0,0,0.242,2.29826110905344e-06
"179","Samoa",209715,2018,1.136,0.238,0,0,0,0,0.238,1.13487351882316e-06
"180","Sao Tome and Principe",211358,2018,0.624,0.132,0,0,0,0,0.132,6.24532783239811e-07
"181","Saudi Arabia",35018132,2018,17.882,626.191,25.135,0,4.337,257.22,339.499,1.78819075786224e-05
"182","Senegal",15574910,2018,0.727,11.33,2.097,2.261,0,0.022,6.951,7.27452036640982e-07
"183","Serbia",7433825,2018,5.962,44.32,0.869,29.605,0,4.88,8.966,5.96193749516568e-06
"184","Seychelles",103120,2018,5.827,0.601,0,0,0,0,0.601,5.82816136539953e-06
"185","Sierra Leone",7861287,2018,0.132,1.037,0,0,0,0,1.037,1.31912242868121e-07
"186","Singapore",5814543,2018,7.915,46.02,0,2.055,0,20.583,23.382,7.91463748741733e-06
"187","Sint Maarten (Dutch part)",42268,2018,16.297,0.689,0,0,0,0,0.689,1.63007476104855e-05
"188","Slovakia",5446746,2018,6.628,36.103,1.347,14.206,0.02,9.359,10.234,6.6283612270519e-06
"189","Slovenia",2105931,2018,6.898,14.527,0.45,4.792,0.131,1.72,7.326,6.89813673857311e-06
"190","Solomon Islands",659259,2018,0.439,0.289,0,0,0,0,0.289,4.38370958909928e-07
"191","South Africa",57339632,2018,7.591,435.237,5.466,355.112,0.057,9.12,65.482,7.59050912639272e-06
"192","South America",424740741,2018,2.507,1064.608,40.776,113.624,37.454,264.457,601.905,2.50648901137553e-06
"193","South Korea",51676900,2018,12.968,670.169,24.702,340.348,0,117.173,177.633,1.29684443145777e-05
"194","South Sudan",10395332,2018,0.144,1.499,0,0,0,0,1.499,1.44199338703179e-07
"195","Spain",46792044,2018,5.771,270.052,9.667,48.066,3.794,61.903,143.531,5.77132300525277e-06
"196","Sri Lanka",21580712,2018,0.973,20.995,1.084,5.528,0,0,14.382,9.72859468214024e-07
"197","Sudan",41999064,2018,0.521,21.864,1.556,0,0.684,0,19.624,5.205830301361e-07
"198","Suriname",593729,2018,3.149,1.869,0.012,0,0,0.011,1.847,3.14790080996549e-06
"199","Sweden",10162300,2018,4.142,42.095,1.607,8.046,0.825,1.894,29.173,4.14227094260158e-06
